"publication_date","paper_count"
2024,"34"
2023,"125"
2022,"107"
2021,"111"
2020,"111"
2019,"56"
2018,"47"
2017,"31"
2016,"19"
2015,"16"
2014,"16"
2013,"15"
2012,"7"
2011,"9"
2010,"1"
2009,"4"
2008,"3"
2007,"4"
2006,"1"
2005,"3"
2004,"2"
2003,"1"
2002,"3"
2001,"1"
2000,"1"
1998,"2"
1997,"1"
1992,"1"
