"publication_date","paper_count"
NULL,"10"
2023,"14"
2022,"35"
2021,"25"
2020,"21"
2019,"18"
2018,"14"
2017,"6"
2016,"5"
2015,"4"
2014,"7"
2013,"2"
2012,"3"
2011,"2"
2010,"1"
2009,"1"
2008,"2"
2007,"2"
2006,"1"
2005,"2"
2004,"2"
2003,"1"
2002,"1"
2000,"1"
1998,"1"
